sample,Site,Sampling_location,Sites,Latitude,Longitude,BD,GWC,pH.H2O.,pH,soilpH,Total.C,Total.N,CN,KCl_NH4.N,KCl_NO3.N,WSOC,Na,NH4,K,Mg,Ca,Cl,NO3,SO4,Al,Fe,Mn,Cu,GMIN,GNIT,GNH4C,GNO3C,Branch_stock,Branch_C,Branch_N,Branch_CN,Leaf_stock,Leaf_C,Leaf_N,Leaf_CN,FH_stock,FH_C,FH_N,FH_CN,Soil.DNA,Bacterial.16S,Fungal.18S,F.B,AOA.amoA,AOB.amoA,AOA.AOB,Map_No,Site.y,N_degree,N_minute,N_second,E_degree,E_minute,E_second,Altitude,Slope_aspect,FSD,WRB,USDA,Forest_type,Dominant_tree_species,Understory,MAT,MAP,Sampling_date_1,Sampling_date_2,Sampling_date_3,Dominant_tree_type
S2,URA,2,URA2,44.36722222,142.2466667,0.88,0.41,4.99,4<pH¡Ü5,4-5,5.85,0.43,13.5,2.564,5.804,77.32,0.768,0.004,0.138,0.023,0.047,0.313,0.316,0.182,2.243,0.97,0.147,0,2.825,NA,5.44,NA,1.93,47.81,0.45,106.64,3.09,47.79,0.64,74.91,17.42,41.85,1.46,28.62,36.3,42289535585,416105756,0.01,87010911,91585,950.1,1,"Uryu, artificial forest",44,22,2,142,14,48,300,flat,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1956),Abies sachalinensis,Sasa senanensis,4.4,1150,2012/10/26,2012/10/26,2012/10/26,Conifer
S20,SCC,5,SCC5,43.3425,144.6341667,0.46,0.44,5.62,5<pH¡Ü6,5-6,6.03,0.4,15.03,0.551,5.493,54.474,0.715,0.011,0.386,0.075,0.246,0.289,0.398,0.142,2.235,0.664,0.145,0,4.141,0.15,6.996,NA,0.91,47.17,0.52,90.08,4.48,43.81,1.07,40.91,12.97,33.17,1.22,27.28,55.1,1.22E+11,2168684684,0.018,414908663,3987214,104.1,2,"Shibecha, coniferous forest",43,20,33,144,38,3,50,NW,BD,Andosols,Andisols,Artificial coniferous forest (planted in 1959),Larix kaempferi,Sasa nipponica,6.2,1170,2012/11/8,2012/11/8,2012/11/8,Conifer
S200,TTB,5,TTB5,33.33861111,132.9638889,0.42,0.31,5.74,5<pH¡Ü6,5-6,4.65,0.34,13.68,5.371,0.868,118.306,0.277,0.014,0.092,0.08,0.273,0.097,0.073,0.202,344.918,179.892,2.448,0,0.084,0.649,1.907,0.053,0.36,49.23,0.71,69.34,0.84,46.61,1.17,39.84,1.16,33.81,0.94,35.97,38.2,58250567454,114884628,0.002,60137818,967830,62.1,23,"Takatoriyama, natural forest",33,20,19,132,57,50,650,E,BD,Cambisols,Inceptisols,Warm temperate evergreen coniferous forest,Abies firma,"Cleyera japonica, Illicium anisatum",13.3,2720,2015/11/13,2015/11/13,2015/11/13,Conifer
S21,ARB,1,ARB1,43.32361111,143.5069444,0.49,0.47,6,5<pH¡Ü6,5-6,10.82,0.7,15.4,2.02,5.561,95.145,0.577,0.008,0.398,0.231,0.631,0.338,0.623,0.266,2.467,0.43,0.08,0,3.054,1.815,4.839,0.911,0.25,44.81,0.7,63.64,4,43.55,1.51,28.79,5.23,38.42,1.59,24.18,88.8,1.91E+11,3046954128,0.016,97406320,14251020,6.8,3,"Ashoro, broadleaved forest",43,19,25,143,30,25,330,N,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Tilia maximowicziana,Sasa nipponica,6.4,820,2012/11/6,2012/11/6,2012/11/6,Broadleaf
S22,ARB,2,ARB2,43.32361111,143.5069444,0.52,0.43,6.4,6<pH¡Ü7,6-7,5.52,0.37,14.87,2.02,5.561,77.354,0.55,0.015,0.276,0.163,0.572,0.293,0.479,0.266,1.067,0.232,0.052,0,4.044,0.951,4.553,0.975,0.77,44.31,0.79,55.83,3.43,43.33,1.51,28.64,8.7,36.74,1.61,22.88,49.4,1.06E+11,2856174125,0.027,47460181,7711124,6.2,3,"Ashoro, broadleaved forest",43,19,25,143,30,25,330,N,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Tilia maximowicziana,Sasa nipponica,6.4,820,2012/11/6,2012/11/6,2012/11/6,Broadleaf
S23,ARB,3,ARB3,43.32361111,143.5069444,0.62,0.47,6.32,6<pH¡Ü7,6-7,8.98,0.61,14.81,2.02,5.561,78.566,0.678,0.017,0.554,0.225,0.651,0.285,0.773,0.244,1.736,0.275,0.06,0,3.958,0.854,5.405,0.507,0.5,43.8,0.81,54.3,2.84,42.54,1.61,26.43,4.23,38.8,1.37,28.33,50,1.06E+11,3373161145,0.032,85507424,56334207,1.5,3,"Ashoro, broadleaved forest",43,19,25,143,30,25,330,N,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Tilia maximowicziana,Sasa nipponica,6.4,820,2012/11/6,2012/11/6,2012/11/6,Broadleaf
S24,ARB,4,ARB4,43.32361111,143.5069444,0.45,0.45,6.64,6<pH¡Ü7,6-7,7.01,0.47,14.85,2.02,5.561,58.165,0.579,0.01,0.291,0.228,0.787,0.305,0.594,0.213,1.063,0.192,0.012,0,2.643,0.548,4.877,NA,0.19,44.26,0.71,62.07,3.15,44.26,1.26,35.12,5.27,42.05,1.74,24.15,50.6,94843513465,844126193,0.009,77160341,18826168,4.1,3,"Ashoro, broadleaved forest",43,19,25,143,30,25,330,N,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Tilia maximowicziana,Sasa nipponica,6.4,820,2012/11/6,2012/11/6,2012/11/6,Broadleaf
S25,ARB,5,ARB5,43.32361111,143.5069444,0.68,0.47,6.67,6<pH¡Ü7,6-7,7.38,0.56,13.09,2.02,5.561,93.814,0.502,0.007,0.146,0.243,1.147,0.181,1.082,0.212,0.532,0.177,0.008,0,3.576,1.191,6.27,0.375,0.6,42.51,0.68,62.46,3.63,42.91,1.61,26.7,5.26,38.73,1.69,22.86,65.8,1.64E+11,1799108841,0.011,60449570,50175039,1.2,3,"Ashoro, broadleaved forest",43,19,25,143,30,25,330,N,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Tilia maximowicziana,Sasa nipponica,6.4,820,2012/11/6,2012/11/6,2012/11/6,Broadleaf
S26,ARC,1,ARC1,43.32305556,143.5172222,0.58,0.33,6.03,6<pH¡Ü7,6-7,3.49,0.15,23.03,2.348,1.112,36.654,0.941,0,0.099,0.03,0.28,0.439,0.263,0.164,2.302,0.678,0.017,0.012,1.194,0.54,1.817,0.151,1.16,46.96,0.35,133.46,5.27,43.31,1.19,36.54,12.23,40.05,1.27,31.51,36.3,79732981822,1002569586,0.013,10457860,3467487,3,3,"Ashoro, coniferous forest",43,19,23,143,31,2,270,S,BD,Andosols,Andisols,Artificial coniferous forest (year of plantation: unknown),Larix kaempferi,Sasa nipponica,6.4,820,2012/11/6,2012/11/6,2012/11/6,Conifer
S27,ARC,2,ARC2,43.32305556,143.5172222,0.55,0.4,6.19,6<pH¡Ü7,6-7,6.76,0.4,16.94,2.348,1.112,47.814,0.965,0,0.322,0.127,0.404,0.503,0.655,0.161,1.416,0.306,0.031,0,1.974,0.274,5.19,NA,1.54,46.47,0.51,91.34,4.55,41.66,1.22,34.04,9.58,33.31,1.15,29.04,59,1.35E+11,1620181477,0.012,400383077,22201742,18,3,"Ashoro, coniferous forest",43,19,23,143,31,2,270,S,BD,Andosols,Andisols,Artificial coniferous forest (year of plantation: unknown),Larix kaempferi,Sasa nipponica,6.4,820,2012/11/6,2012/11/6,2012/11/6,Conifer
S28,ARC,3,ARC3,43.32305556,143.5172222,0.63,0.35,5.92,5<pH¡Ü6,5-6,5.37,0.29,18.72,2.348,1.112,48.191,0.567,0.005,0.349,0.067,0.182,0.312,0.287,0.259,1.715,0.28,0.035,0.016,1.95,0.404,2.448,0.276,0.84,47.4,0.47,101.32,3.67,42.68,1.25,34.05,12.33,40.84,1.28,31.84,49.2,1.14E+11,2863831921,0.025,95846935,16159497,5.9,3,"Ashoro, coniferous forest",43,19,23,143,31,2,270,S,BD,Andosols,Andisols,Artificial coniferous forest (year of plantation: unknown),Larix kaempferi,Sasa nipponica,6.4,820,2012/11/6,2012/11/6,2012/11/6,Conifer
S29,ARC,4,ARC4,43.32305556,143.5172222,0.6,0.34,6.48,6<pH¡Ü7,6-7,3.87,0.2,19.16,2.348,1.112,20.223,0.631,0,0.017,0.066,0.221,0.282,0.198,0.164,0.945,0.189,0.046,0.064,1.445,0.095,2.145,NA,0.98,46.39,0.46,100.94,5.24,42.43,1.1,38.5,8.61,40.07,1.4,28.7,26.5,67385010915,1531896898,0.023,44596181,636724,70,3,"Ashoro, coniferous forest",43,19,23,143,31,2,270,S,BD,Andosols,Andisols,Artificial coniferous forest (year of plantation: unknown),Larix kaempferi,Sasa nipponica,6.4,820,2012/11/6,2012/11/6,2012/11/6,Conifer
S3,URA,3,URA3,44.36722222,142.2466667,0.89,0.4,5,4<pH¡Ü5,4-5,6.28,0.44,14.12,2.564,5.804,52.138,0.712,0.013,0.27,0.037,0.076,0.358,0.271,0.16,2.075,0.848,0.171,0,2.272,NA,2.011,NA,0.54,45.07,0.62,73.02,3.46,48.49,0.66,73.64,7.15,45.27,1.15,39.49,70,1.05E+11,3111251045,0.03,65721821,6206344,10.6,1,"Uryu, artificial forest",44,22,2,142,14,48,300,flat,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1956),Abies sachalinensis,Sasa senanensis,4.4,1150,2012/10/26,2012/10/26,2012/10/26,Conifer
S30,ARC,5,ARC5,43.32305556,143.5172222,0.55,0.3,6.01,6<pH¡Ü7,6-7,4.84,0.24,20.58,2.348,1.112,78.223,0.66,0,0.172,0.068,0.32,0.354,0.202,0.213,1.85,0.508,0.052,0.049,2.222,0.36,2.857,NA,1.14,47.47,0.36,131.73,5.79,42.13,1.22,34.6,9.54,36.35,1.22,29.91,54.3,1.15E+11,4606296673,0.04,77096523,3127050,24.7,3,"Ashoro, coniferous forest",43,19,23,143,31,2,270,S,BD,Andosols,Andisols,Artificial coniferous forest (year of plantation: unknown),Larix kaempferi,Sasa nipponica,6.4,820,2012/11/6,2012/11/6,2012/11/6,Conifer
S31,TMC,1,TMC1,42.70305556,141.5713889,0.78,0.23,5.69,5<pH¡Ü6,5-6,1.53,0.08,20.27,2.999,15.743,52.338,0.5,0.006,0.025,0.051,0.272,0.193,0.314,0.089,1.258,0.212,0.026,0,NA,NA,NA,NA,0.24,47.56,0.83,56.99,1.12,47.1,1.29,36.51,6.41,42.54,1.73,24.58,12.4,27783331696,255448327,0.009,237760904,11258197,21.1,4,"Tomakomai, control",42,42,11,141,34,17,80,flat,Im,Regosols,Entisols,Cool temperate deciduous broadleaved forest,Quercus crispula,"Pachysandra terminalis, Dryopteris crassirhizoma, Daphne kamtschatica var. jezoensis, Smilacina japonica, Trillium apetalon",6.7,1110,2013/10/30,2013/10/30,NA,Broadleaf
S32,TMC,2,TMC2,42.70305556,141.5713889,0.89,0.45,5.38,5<pH¡Ü6,5-6,6.33,0.36,17.45,2.999,15.743,116.918,0.915,0.011,0.06,0.212,0.852,0.311,0.867,0.14,3.916,0.656,0.054,0,NA,NA,NA,NA,0.19,47.66,0.68,70.16,0.96,48.57,1.27,38.12,6.48,39.62,1.67,23.76,74.7,1.50E+11,3375660486,0.022,365050277,21292016,17.1,4,"Tomakomai, control",42,42,11,141,34,17,80,flat,Im,Regosols,Entisols,Cool temperate deciduous broadleaved forest,Quercus crispula,"Pachysandra terminalis, Dryopteris crassirhizoma, Daphne kamtschatica var. jezoensis, Smilacina japonica, Trillium apetalon",6.7,1110,2013/10/30,2013/10/30,NA,Broadleaf
S33,TMC,3,TMC3,42.70305556,141.5713889,0.71,0.34,5.72,5<pH¡Ü6,5-6,3.65,0.2,17.92,2.999,15.743,50.122,0.58,0.006,0.005,0.102,0.511,0.218,0.569,0.091,1.679,0.208,0.037,0.01,NA,NA,NA,NA,0.14,48.29,0.34,142.76,1.45,47.67,0.92,52.09,4.2,39.5,1.33,29.59,25.9,56968656663,1177250430,0.021,216360714,7865712,27.5,4,"Tomakomai, control",42,42,11,141,34,17,80,flat,Im,Regosols,Entisols,Cool temperate deciduous broadleaved forest,Quercus crispula,"Pachysandra terminalis, Dryopteris crassirhizoma, Daphne kamtschatica var. jezoensis, Smilacina japonica, Trillium apetalon",6.7,1110,2013/10/30,2013/10/30,NA,Broadleaf
S34,TMC,4,TMC4,42.70305556,141.5713889,1.01,0.41,5.47,5<pH¡Ü6,5-6,4.62,0.28,16.48,2.999,15.743,95.998,0.862,0.008,0.014,0.223,0.843,0.271,0.999,0.151,2.643,0.485,0.099,0.011,NA,NA,NA,NA,0.8,49.02,0.59,82.48,1,47.75,1.2,39.67,3.56,43.1,1.61,26.69,39.5,93521873438,1389583880,0.015,150034263,16125396,9.3,4,"Tomakomai, control",42,42,11,141,34,17,80,flat,Im,Regosols,Entisols,Cool temperate deciduous broadleaved forest,Quercus crispula,"Pachysandra terminalis, Dryopteris crassirhizoma, Daphne kamtschatica var. jezoensis, Smilacina japonica, Trillium apetalon",6.7,1110,2013/10/30,2013/10/30,NA,Broadleaf
S35,TMC,5,TMC5,42.70305556,141.5713889,0.53,0.33,5.75,5<pH¡Ü6,5-6,3.65,0.2,18.51,2.999,15.743,102.803,1.061,0.006,0.008,0.137,0.514,0.419,0.455,0.101,2.9,0.342,0.035,0.014,NA,NA,NA,NA,0.2,48.85,0.65,74.94,1.47,48.91,1.19,41.05,10.19,42.55,1.54,27.55,22.9,51236774766,1351291592,0.026,237006798,31672541,7.5,4,"Tomakomai, control",42,42,11,141,34,17,80,flat,Im,Regosols,Entisols,Cool temperate deciduous broadleaved forest,Quercus crispula,"Pachysandra terminalis, Dryopteris crassirhizoma, Daphne kamtschatica var. jezoensis, Smilacina japonica, Trillium apetalon",6.7,1110,2013/10/30,2013/10/30,NA,Broadleaf
S36,TMN,1,TMN1,42.70027778,141.5705556,0.75,0.38,5.38,5<pH¡Ü6,5-6,5.43,0.34,16.12,1.87,11.768,139.639,0.766,0.014,0.176,0.245,0.857,0.261,1.119,0.159,3.443,0.582,0.109,0,NA,NA,NA,NA,0.19,48.9,0.46,105.19,1.96,44.39,1.05,42.11,4.51,42.32,1.34,31.61,43.5,1.13E+11,1947912243,0.017,211150872,81739998,2.6,4,"Tomakomai, N addition",42,42,1,141,34,14,80,flat,Im,Regosols,Entisols,Cool temperate deciduous broadleaved forest,Quercus crispula,"Pachysandra terminalis, Dryopteris crassirhizoma, Daphne kamtschatica var. jezoensis, Smilacina japonica, Trillium apetalon",6.7,1110,2013/10/30,2013/10/30,NA,Broadleaf
S37,TMN,2,TMN2,42.70027778,141.5705556,0.5,0.36,5.29,5<pH¡Ü6,5-6,3.53,0.19,18.62,1.87,11.768,88.142,0.752,0.007,0.016,0.1,0.639,0.27,0.673,0.109,3.484,0.376,0.083,0,NA,NA,NA,NA,0.7,46.3,0.66,70.01,1.04,44.28,1.33,33.33,7.19,40.41,1.53,26.45,40.1,1.05E+11,968474834,0.009,144956384,5846483,24.8,4,"Tomakomai, N addition",42,42,1,141,34,14,80,flat,Im,Regosols,Entisols,Cool temperate deciduous broadleaved forest,Quercus crispula,"Pachysandra terminalis, Dryopteris crassirhizoma, Daphne kamtschatica var. jezoensis, Smilacina japonica, Trillium apetalon",6.7,1110,2013/10/30,2013/10/30,NA,Broadleaf
S38,TMN,3,TMN3,42.70027778,141.5705556,0.69,0.34,5.24,5<pH¡Ü6,5-6,3.69,0.21,17.74,1.87,11.768,83.111,0.761,0.009,0.027,0.099,0.569,0.322,0.553,0.116,3.21,0.434,0.084,0,NA,NA,NA,NA,0.3,44.63,0.39,113.28,1.38,44.66,1.1,40.54,4.85,42.18,1.66,25.46,24.7,58891191157,1156010199,0.02,202905375,58130500,3.5,4,"Tomakomai, N addition",42,42,1,141,34,14,80,flat,Im,Regosols,Entisols,Cool temperate deciduous broadleaved forest,Quercus crispula,"Pachysandra terminalis, Dryopteris crassirhizoma, Daphne kamtschatica var. jezoensis, Smilacina japonica, Trillium apetalon",6.7,1110,2013/10/30,2013/10/30,NA,Broadleaf
S39,TMN,4,TMN4,42.70027778,141.5705556,0.59,0.4,5.27,5<pH¡Ü6,5-6,4.66,0.28,16.44,1.87,11.768,87.101,1.176,0.009,0.016,0.207,1.223,0.436,1.336,0.166,2.714,0.317,0.062,0,NA,NA,NA,NA,0.15,45.21,0.78,58.21,1.71,45.67,1.24,36.74,2.48,40.79,1.61,25.27,41.1,1.05E+11,1505123962,0.014,51137626,73099125,0.7,4,"Tomakomai, N addition",42,42,1,141,34,14,80,flat,Im,Regosols,Entisols,Cool temperate deciduous broadleaved forest,Quercus crispula,"Pachysandra terminalis, Dryopteris crassirhizoma, Daphne kamtschatica var. jezoensis, Smilacina japonica, Trillium apetalon",6.7,1110,2013/10/30,2013/10/30,NA,Broadleaf
S4,URA,4,URA4,44.36722222,142.2466667,0.83,0.37,5.05,5<pH¡Ü6,5-6,6.3,0.46,13.63,2.564,5.804,109.932,1.077,0.007,0.095,0.019,0.041,0.432,0.27,0.128,4.607,2.254,0.178,0,2.736,0.821,2.15,0.08,1.05,46.54,0.63,73.66,2.78,47.6,0.8,59.69,16.37,41.3,1.16,35.48,54.5,68422589811,2929653389,0.043,61638850,245292,251.3,1,"Uryu, artificial forest",44,22,2,142,14,48,300,flat,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1956),Abies sachalinensis,Sasa senanensis,4.4,1150,2012/10/26,2012/10/26,2012/10/26,Conifer
S40,TMN,5,TMN5,42.70027778,141.5705556,0.83,0.4,5.32,5<pH¡Ü6,5-6,6.81,0.43,15.73,1.87,11.768,94.946,0.869,0.014,0.074,0.239,1.095,0.321,1.172,0.159,3.13,0.712,0.159,0,NA,NA,NA,NA,0.37,45.88,0.41,112.15,1.88,44.86,1.24,36.09,3.64,39.63,1.49,26.65,54.9,1.35E+11,3282851170,0.024,158217634,260002217,0.6,4,"Tomakomai, N addition",42,42,1,141,34,14,80,flat,Im,Regosols,Entisols,Cool temperate deciduous broadleaved forest,Quercus crispula,"Pachysandra terminalis, Dryopteris crassirhizoma, Daphne kamtschatica var. jezoensis, Smilacina japonica, Trillium apetalon",6.7,1110,2013/10/30,2013/10/30,NA,Broadleaf
S41,APN,1,APN1,40.00138889,140.9366667,0.4,0.58,4.82,4<pH¡Ü5,4-5,14.69,0.91,16.21,17.896,2.403,186.263,0.192,0.226,0.181,0.555,1.267,0.156,1.48,0.246,1.053,0.294,0.079,0,11.913,1.136,14.961,0.93,3.11,50.3,1.09,46.14,0.29,48.96,1.46,33.49,6.9,44.85,2.01,22.3,199.1,2.27E+11,5841766396,0.026,179705677,636895,282.2,5,"Appi, natural forest",40,0,5,140,56,12,890,NE,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Fagus crenata,Sasa kurilensis,9.5,1140,2010/9/22,2012/11/19,2010/10/28,Broadleaf
S42,APN,2,APN2,40.00138889,140.9366667,0.27,0.68,4,pH¡Ü4,<4,19.94,1.27,15.69,27.514,29.736,308.083,0.247,0.21,0.298,2.695,5.421,0.407,8.953,0.643,6.24,0,0,0,19.6,1.919,24.177,NA,1.99,51.35,0.77,66.69,0.18,47.92,1.9,25.23,6.67,47.72,2.03,23.47,252.7,4.40E+11,10871676267,0.025,452801735,1803503,251.1,5,"Appi, natural forest",40,0,5,140,56,12,890,NE,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Fagus crenata,Sasa kurilensis,9.5,1140,2010/9/22,2012/11/19,2010/10/28,Broadleaf
S43,APN,3,APN3,40.00138889,140.9366667,0.42,0.63,4.35,4<pH¡Ü5,4-5,14.04,0.89,15.76,17.757,5.217,228.784,0.308,0.073,0.183,0.806,1.781,0.208,2.096,0.498,0.948,0,0,0,12.49,2.761,16.436,4.224,2.74,50.66,1.11,45.62,0.16,48.53,1.79,27.04,5.29,47.65,2.07,22.97,221.7,4.57E+11,23819610523,0.052,375701295,3319431,113.2,5,"Appi, natural forest",40,0,5,140,56,12,890,NE,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Fagus crenata,Sasa kurilensis,9.5,1140,2010/9/22,2012/11/19,2010/10/28,Broadleaf
S44,APN,4,APN4,40.00138889,140.9366667,0.43,0.61,4.35,4<pH¡Ü5,4-5,12.94,0.73,17.83,15.978,6.231,205.635,0.3,0.146,0.313,1.25,2.326,0.356,3.779,0.397,1.019,0,0,0,9.077,3.219,12.661,0.823,0.88,49.27,0.88,56.04,0.06,47.24,1.88,25.14,6.76,45.99,2.13,21.57,167.1,3.13E+11,10709667830,0.034,601642515,1956499,307.5,5,"Appi, natural forest",40,0,5,140,56,12,890,NE,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Fagus crenata,Sasa kurilensis,9.5,1140,2010/9/22,2012/11/19,2010/10/28,Broadleaf
S45,APN,5,APN5,40.00138889,140.9366667,0.43,0.55,4.22,4<pH¡Ü5,4-5,15.15,0.97,15.62,18.139,10.827,293.934,0.19,0.089,0.217,1.498,3.847,0.193,4.138,0.503,4.24,0.487,5.011,0,13.965,8.5,16.489,6.628,2.42,49.45,0.75,66.16,0.23,48.22,1.76,27.38,5.88,46,1.97,23.33,177.6,3.29E+11,10990019183,0.033,288864995,NA,NA,5,"Appi, natural forest",40,0,5,140,56,12,890,NE,BD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Fagus crenata,Sasa kurilensis,9.5,1140,2010/9/22,2012/11/19,2010/10/28,Broadleaf
S46,MRB,1,MRB1,39.77027778,141.1402778,0.49,0.5,5.32,5<pH¡Ü6,5-6,14.21,0.97,14.58,14.13,6.675,156.861,0.22,0.06,0.117,0.477,1.403,0.208,1.15,0.556,0.455,0.007,0,0,6.965,8.357,9.91,1.359,1.88,46.84,0.59,79.11,0.06,49.47,2.23,22.2,13.13,47.47,1.69,28.04,54.7,1.16E+11,3225264867,0.028,789578388,48595152,16.2,6,"Morioka, broadleaved forest",39,46,13,141,8,25,270,flat,BlD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Fagus crenata,Almost no understory,10.6,1330,2010/9/21,2012/11/19,2010/10/27,Broadleaf
S47,MRB,2,MRB2,39.77027778,141.1402778,0.53,0.52,5.52,5<pH¡Ü6,5-6,13.69,0.92,14.94,13.01,10.775,172.793,0.216,0.069,0.118,0.546,1.684,0.139,1.268,0.699,0.602,0,0,0,6.893,0.484,10.938,NA,1.35,47.18,0.71,66.78,0.07,48.39,2.59,18.66,9.96,42.96,1.61,26.75,37.9,1.04E+11,1730488800,0.017,621481028,8237872,75.4,6,"Morioka, broadleaved forest",39,46,13,141,8,25,270,flat,BlD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Fagus crenata,Almost no understory,10.6,1330,2010/9/21,2012/11/19,2010/10/27,Broadleaf
S48,MRB,3,MRB3,39.77027778,141.1402778,0.44,0.51,5.61,5<pH¡Ü6,5-6,14.72,1.02,14.49,13.393,2.972,155.37,0.243,0.09,0.103,0.379,1.074,0.178,0.805,0.451,0.171,0,0,0,8.35,0.748,12.028,0.037,2.46,47.82,0.63,76.12,0.08,48.9,2.47,19.78,9.56,45.91,1.78,25.78,48.7,1.30E+11,671962064,0.005,458629043,8487200,54,6,"Morioka, broadleaved forest",39,46,13,141,8,25,270,flat,BlD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Fagus crenata,Almost no understory,10.6,1330,2010/9/21,2012/11/19,2010/10/27,Broadleaf
S49,MRB,4,MRB4,39.77027778,141.1402778,0.51,0.51,5.35,5<pH¡Ü6,5-6,13.58,0.93,14.54,13.881,7.121,94.388,0.162,0.068,0.128,0.534,1.529,0.143,1.071,0.382,0.393,0,0,0,2.935,NA,5.029,NA,4.81,47.62,0.7,68.05,0.09,50.08,2.38,21.08,8.07,46.32,1.69,27.43,43.6,94487152105,2019133797,0.021,921124720,15509685,59.4,6,"Morioka, broadleaved forest",39,46,13,141,8,25,270,flat,BlD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Fagus crenata,Almost no understory,10.6,1330,2010/9/21,2012/11/19,2010/10/27,Broadleaf
S5,URA,5,URA5,44.36722222,142.2466667,0.82,0.37,4.98,4<pH¡Ü5,4-5,6.84,0.48,14.3,2.564,5.804,101.493,0.815,0.036,0.255,0.043,0.117,0.288,0.376,0.206,3.718,1.589,0.345,0,1.722,NA,2.684,0.141,5.23,47.75,0.42,113.99,2.91,47.24,0.74,63.54,14.68,43.67,1.09,39.93,47.8,64587764114,2830228645,0.044,30815022,3163858,9.7,1,"Uryu, artificial forest",44,22,2,142,14,48,300,flat,BD,Cambisols,Inceptisols,Artificial coniferous forest (planted in 1956),Abies sachalinensis,Sasa senanensis,4.4,1150,2012/10/26,2012/10/26,2012/10/26,Conifer
S50,MRB,5,MRB5,39.77027778,141.1402778,0.36,0.5,5.38,5<pH¡Ü6,5-6,14.55,1,14.54,13.69,2.583,113.172,0.184,0.055,0.112,0.458,1.307,0.156,0.721,0.525,0.136,0.03,0,0,5.777,0.519,8.252,0.678,3.67,48.54,0.64,76.04,0.15,49.49,2.75,17.98,8.84,46.82,1.65,28.43,76.9,2.09E+11,5775207734,0.028,685411391,73356555,9.3,6,"Morioka, broadleaved forest",39,46,13,141,8,25,270,flat,BlD,Andosols,Andisols,Cool temperate deciduous broadleaved forest,Fagus crenata,Almost no understory,10.6,1330,2010/9/21,2012/11/19,2010/10/27,Broadleaf
S51,AKA,1,AKA1,39.85583333,140.1763889,0.36,0.37,5.31,5<pH¡Ü6,5-6,5.74,0.33,17.37,5.674,0.497,52.2,2.166,0,0.086,0.005,0.013,1.365,0,0.497,2.416,1.183,0.02,0,4.363,0.003,5.944,NA,3.3,45.25,0.22,204.35,4.48,49.07,0.49,100.37,13.71,42.06,0.85,49.67,23.9,43140693944,2966469015,0.069,896178,1458909,0.6,7,"Akita, artificial forest",39,51,21,140,10,35,80,S,BD,Cambisols,Inceptisols,Artificial coniferous forest (year of plantation: unknown),Cryptomeria japonica,"Lindera umbellata var. membranacea, Callicarpa japonica, Acer palmatum",11.2,1680,2012/10/19,2012/10/19,2012/10/19,Conifer
S52,AKA,2,AKA2,39.85583333,140.1763889,0.33,0.4,5.37,5<pH¡Ü6,5-6,6.01,0.34,17.6,5.674,0.497,86.81,1.373,0,0.042,0.002,0.001,0.575,0.083,0.328,3.687,1.762,0.013,0.02,9.418,0.011,10.737,0.071,0.99,46.16,0.32,143.89,5.74,49.78,0.52,96.64,24.13,35.44,0.75,47.47,35,58933116878,2233478228,0.038,11311791,10065292,1.1,7,"Akita, artificial forest",39,51,21,140,10,35,80,S,BD,Cambisols,Inceptisols,Artificial coniferous forest (year of plantation: unknown),Cryptomeria japonica,"Lindera umbellata var. membranacea, Callicarpa japonica, Acer palmatum",11.2,1680,2012/10/19,2012/10/19,2012/10/19,Conifer
S53,AKA,3,AKA3,39.85583333,140.1763889,0.23,0.41,6.43,6<pH¡Ü7,6-7,8.1,0.47,17.4,5.674,0.497,369.061,2.679,0.001,0.114,0.15,0.261,1.246,0.199,0.279,8.122,4.494,0.068,0.047,13.023,NA,13.477,NA,1.94,46.89,0.13,348.87,4.92,48.31,0.39,124.57,23.63,34.07,0.62,55.1,66.4,1.14E+11,2744846035,0.024,51652751,33766468,1.5,7,"Akita, artificial forest",39,51,21,140,10,35,80,S,BD,Cambisols,Inceptisols,Artificial coniferous forest (year of plantation: unknown),Cryptomeria japonica,"Lindera umbellata var. membranacea, Callicarpa japonica, Acer palmatum",11.2,1680,2012/10/19,2012/10/19,2012/10/19,Conifer
